Date,Product Code,Sales Quantity,Sales Revenue,Category,Size,Color,Material,Promo 1,Promo 2,Lead Time (days)
2020-02-08,1002,29,232,Top,L,Red,Polyester,Yes,No,10
2020-02-08,2001,28,336,Pants,S,Yellow,Cotton,No,No,5
2020-02-09,1001,43,774,T-Shirts,M,Blue,Cotton,No,Yes,13
2020-02-09,1002,12,204,Top,M,White,Polyester,Yes,No,9
2020-02-09,2001,33,363,Pants,L,White,Cotton,No,No,5
2020-02-10,1001,26,390,T-Shirts,XL,Red,Cotton,No,No,6
2020-02-10,1002,6,66,Top,L,Red,Polyester,Yes,No,13
2020-02-10,2001,45,900,Pants,M,Black,Cotton,Yes,Yes,13
2020-02-11,1001,17,289,T-Shirts,S,Yellow,Cotton,Yes,Yes,14
2020-02-11,1002,17,153,Top,XL,Yellow,Polyester,Yes,Yes,8
2020-02-11,2001,20,380,Pants,XL,Black,Cotton,No,Yes,14
2020-02-12,1001,39,780,T-Shirts,S,Yellow,Cotton,Yes,No,5
2020-02-12,1002,35,315,Top,XXL,Red,Polyester,Yes,No,12
2020-02-12,2001,48,480,Pants,S,Green,Cotton,No,Yes,5
2020-02-13,1001,29,232,T-Shirts,L,White,Cotton,Yes,No,11
2020-02-13,1002,3,24,Top,M,Green,Polyester,Yes,Yes,9
2020-02-13,2001,29,203,Pants,S,Red,Cotton,No,Yes,13
2020-02-14,1001,49,294,T-Shirts,XXL,Yellow,Cotton,No,No,14
2020-02-14,1002,32,192,Top,XXL,Blue,Polyester,Yes,No,8
2020-02-14,2001,39,195,Pants,M,White,Cotton,Yes,Yes,7
2020-02-15,1001,4,68,T-Shirts,XXL,Blue,Cotton,No,Yes,8
2020-02-15,1002,32,352,Top,XL,Blue,Polyester,No,No,12
2020-02-15,2001,47,564,Pants,XXL,Black,Cotton,No,Yes,7
2020-02-16,1001,38,456,T-Shirts,XL,Green,Cotton,No,Yes,11
2020-02-16,1002,36,324,Top,XXL,Black,Polyester,Yes,No,8
2020-02-16,2001,3,48,Pants,XL,Red,Cotton,No,Yes,13
2020-02-17,1001,50,850,T-Shirts,S,White,Cotton,Yes,Yes,11
2020-02-17,1002,24,288,Top,M,Green,Polyester,No,No,6
2020-02-17,2001,34,204,Pants,XL,White,Cotton,Yes,No,7
2020-02-18,1001,21,210,T-Shirts,L,Red,Cotton,Yes,Yes,13
2020-02-18,1002,20,120,Top,XL,Black,Polyester,No,Yes,12
2020-02-18,2001,45,720,Pants,L,Yellow,Cotton,Yes,No,6
2020-02-19,1001,1,9,T-Shirts,XXL,Green,Cotton,No,No,8
2020-02-19,1002,29,406,Top,L,Blue,Polyester,No,Yes,5
2020-02-19,2001,35,490,Pants,XXL,Green,Cotton,No,Yes,7
2020-02-20,1001,16,240,T-Shirts,S,Blue,Cotton,No,Yes,11
2020-02-20,1002,27,297,Top,S,White,Polyester,Yes,Yes,13
2020-02-20,2001,13,247,Pants,L,Green,Cotton,Yes,Yes,8
2020-02-21,1001,32,320,T-Shirts,XXL,Blue,Cotton,Yes,No,12
2020-02-21,1002,36,612,Top,M,Black,Polyester,Yes,Yes,14
2020-02-21,2001,3,18,Pants,XXL,Red,Cotton,No,Yes,7
2020-02-22,1001,8,64,T-Shirts,S,Black,Cotton,Yes,Yes,11
2020-02-22,1002,47,517,Top,XL,Red,Polyester,No,Yes,6
2020-02-22,2001,41,533,Pants,S,Green,Cotton,No,No,10
2020-02-23,1001,40,280,T-Shirts,S,White,Cotton,Yes,No,7
2020-02-23,1002,14,196,Top,M,Black,Polyester,No,No,10
2020-02-23,2001,21,315,Pants,S,White,Cotton,Yes,Yes,12
2020-02-24,1001,17,153,T-Shirts,XL,Yellow,Cotton,No,No,8
2020-02-24,1002,50,600,Top,XL,Black,Polyester,No,Yes,11
2020-02-24,2001,44,220,Pants,XXL,Yellow,Cotton,Yes,Yes,6
2020-02-25,1001,24,288,T-Shirts,S,Green,Cotton,No,Yes,12
2020-02-25,1002,8,96,Top,XL,Red,Polyester,Yes,Yes,8
2020-02-25,2001,13,78,Pants,XXL,White,Cotton,Yes,Yes,12
2020-02-26,1001,16,208,T-Shirts,S,Red,Cotton,Yes,No,14
2020-02-26,1002,44,352,Top,XXL,White,Polyester,Yes,No,9
2020-02-26,2001,43,817,Pants,XXL,Red,Cotton,No,Yes,12
2020-02-27,1001,49,245,T-Shirts,S,Red,Cotton,Yes,No,5
2020-02-27,1002,22,220,Top,XL,Black,Polyester,No,Yes,9
2020-02-27,2001,50,550,Pants,XL,Yellow,Cotton,No,Yes,9
2020-02-28,1001,12,192,T-Shirts,L,Green,Cotton,No,Yes,10
2020-02-28,1002,25,150,Top,XXL,Red,Polyester,No,Yes,6
2020-02-28,2001,5,85,Pants,L,Black,Cotton,Yes,No,7
2020-02-29,1001,7,42,T-Shirts,XL,Red,Cotton,Yes,Yes,6
2020-02-29,1002,32,256,Top,XXL,Yellow,Polyester,No,No,9
2020-02-29,2001,10,110,Pants,XXL,Green,Cotton,Yes,No,5
2020-03-01,1001,38,570,T-Shirts,XXL,Red,Cotton,No,Yes,10
2020-03-01,1002,50,550,Top,XL,Red,Polyester,Yes,Yes,14
2020-03-01,2001,42,336,Pants,XXL,Red,Cotton,No,Yes,11
2020-03-02,1001,35,420,T-Shirts,M,Blue,Cotton,No,No,9
2020-03-02,1002,44,220,Top,S,White,Polyester,Yes,Yes,6
2020-03-02,2001,33,165,Pants,S,Yellow,Cotton,No,No,8
2020-03-03,1001,4,20,T-Shirts,L,Blue,Cotton,No,No,11
2020-03-03,1002,3,51,Top,M,White,Polyester,Yes,No,10
2020-03-03,2001,38,646,Pants,S,Yellow,Cotton,No,No,6
2020-03-04,1001,1,18,T-Shirts,XXL,White,Cotton,Yes,Yes,6
2020-03-04,1002,46,322,Top,L,Blue,Polyester,Yes,No,12
2020-03-04,2001,40,720,Pants,XL,Yellow,Cotton,No,Yes,12
2020-03-05,1001,32,352,T-Shirts,S,Red,Cotton,No,Yes,6
2020-03-05,1002,23,161,Top,L,Yellow,Polyester,No,No,13
2020-03-05,2001,7,91,Pants,S,Yellow,Cotton,Yes,Yes,7
2020-03-06,1001,32,512,T-Shirts,S,Yellow,Cotton,Yes,No,6
2020-03-06,1002,18,252,Top,L,Blue,Polyester,Yes,Yes,8
2020-03-06,2001,32,352,Pants,S,Black,Cotton,No,Yes,8
2020-03-07,1001,21,336,T-Shirts,S,Green,Cotton,No,Yes,10
2020-03-07,1002,30,210,Top,S,Black,Polyester,No,No,11
2020-03-07,2001,27,459,Pants,L,Black,Cotton,No,No,14
2020-03-08,1001,17,272,T-Shirts,XL,Yellow,Cotton,No,No,6
2020-03-08,1002,13,260,Top,L,Yellow,Polyester,No,No,12
2020-03-08,2001,26,338,Pants,M,Green,Cotton,Yes,Yes,12
2020-03-09,1001,46,414,T-Shirts,L,Blue,Cotton,No,Yes,9
2020-03-09,1002,19,380,Top,XXL,Blue,Polyester,No,No,6
2020-03-09,2001,3,54,Pants,S,Black,Cotton,Yes,No,5
2020-03-10,1001,1,10,T-Shirts,M,Green,Cotton,Yes,No,6
2020-03-10,1002,29,580,Top,XXL,Red,Polyester,Yes,No,14
2020-03-10,2001,9,135,Pants,L,Black,Cotton,No,Yes,13
2020-03-11,1001,15,135,T-Shirts,XXL,Red,Cotton,Yes,No,12
2020-03-11,1002,20,360,Top,XL,White,Polyester,Yes,No,12
2020-03-11,2001,27,432,Pants,XL,White,Cotton,No,Yes,11
2020-03-12,1001,35,175,T-Shirts,XXL,Red,Cotton,Yes,No,5
2020-03-12,1002,45,405,Top,S,White,Polyester,Yes,No,7
2020-03-12,2001,10,190,Pants,XL,Black,Cotton,Yes,No,10
2020-03-13,1001,30,540,T-Shirts,S,White,Cotton,No,No,14
2020-03-13,1002,17,170,Top,XXL,Black,Polyester,Yes,No,13
2020-03-13,2001,23,414,Pants,S,Red,Cotton,Yes,No,6
2020-03-14,1001,49,392,T-Shirts,S,Black,Cotton,Yes,No,10
2020-03-14,1002,4,48,Top,L,Black,Polyester,No,No,11
2020-03-14,2001,4,24,Pants,XXL,Red,Cotton,No,Yes,12
2020-03-15,1001,3,60,T-Shirts,XL,Yellow,Cotton,No,Yes,6
2020-03-15,1002,29,203,Top,L,White,Polyester,Yes,No,10
2020-03-15,2001,35,210,Pants,L,Green,Cotton,No,Yes,13
2020-03-16,1001,13,156,T-Shirts,L,Red,Cotton,No,Yes,11
2020-03-16,1002,10,120,Top,XL,Green,Polyester,Yes,No,8
2020-03-16,2001,27,486,Pants,XL,White,Cotton,Yes,Yes,8
2020-03-17,1001,5,50,T-Shirts,XXL,Black,Cotton,Yes,No,10
2020-03-17,1002,48,912,Top,XL,Yellow,Polyester,Yes,No,14
2020-03-17,2001,22,176,Pants,XXL,Black,Cotton,No,Yes,13
2020-03-18,1001,34,578,T-Shirts,XL,Green,Cotton,Yes,No,12
2020-03-18,1002,1,12,Top,S,Black,Polyester,Yes,Yes,5
2020-03-18,2001,29,203,Pants,XXL,Yellow,Cotton,No,No,14
2020-03-19,1001,24,144,T-Shirts,S,White,Cotton,No,No,10
2020-03-19,1002,30,240,Top,XL,White,Polyester,Yes,Yes,12
2020-03-19,2001,47,658,Pants,L,Green,Cotton,Yes,No,13
2020-03-20,1001,17,85,T-Shirts,XXL,Blue,Cotton,No,Yes,6
2020-03-20,1002,38,646,Top,M,Black,Polyester,Yes,No,8
2020-03-20,2001,19,114,Pants,S,Green,Cotton,Yes,Yes,13
2020-03-21,1001,18,270,T-Shirts,L,Red,Cotton,No,No,10
2020-03-21,1002,49,882,Top,M,Black,Polyester,No,No,9
2020-03-21,2001,10,50,Pants,XL,Black,Cotton,No,No,7
2020-03-22,1001,11,66,T-Shirts,S,Red,Cotton,No,Yes,11
2020-03-22,1002,10,110,Top,M,White,Polyester,No,Yes,12
2020-03-22,2001,40,200,Pants,XXL,Blue,Cotton,Yes,Yes,14
2020-03-23,1001,25,500,T-Shirts,XXL,Yellow,Cotton,No,No,13
2020-03-23,1002,5,70,Top,M,White,Polyester,No,Yes,13
2020-03-23,2001,38,570,Pants,XXL,White,Cotton,Yes,No,5
2020-03-24,1001,22,264,T-Shirts,XXL,White,Cotton,No,Yes,6
2020-03-24,1002,30,420,Top,M,Green,Polyester,No,Yes,13
2020-03-24,2001,38,570,Pants,L,White,Cotton,No,Yes,10
2020-03-25,1001,6,30,T-Shirts,M,Red,Cotton,No,Yes,5
2020-03-25,1002,35,175,Top,XXL,Blue,Polyester,Yes,No,9
2020-03-25,2001,28,196,Pants,L,Blue,Cotton,No,Yes,6
2020-03-26,1001,39,663,T-Shirts,XL,Black,Cotton,Yes,Yes,5
2020-03-26,1002,24,288,Top,XXL,Green,Polyester,Yes,Yes,13
2020-03-26,2001,28,504,Pants,S,Red,Cotton,No,Yes,13
2020-03-27,1001,13,234,T-Shirts,XL,Red,Cotton,No,No,10
2020-03-27,1002,16,304,Top,M,Black,Polyester,Yes,No,8
2020-03-27,2001,8,112,Pants,XXL,Blue,Cotton,No,Yes,6
2020-03-28,1001,23,184,T-Shirts,XL,Yellow,Cotton,Yes,No,10
2020-03-28,1002,42,588,Top,XXL,White,Polyester,Yes,Yes,12
2020-03-28,2001,6,84,Pants,S,Red,Cotton,No,Yes,12
2020-03-29,1001,12,96,T-Shirts,M,Blue,Cotton,No,Yes,12
2020-03-29,1002,42,294,Top,L,White,Polyester,Yes,No,12
2020-03-29,2001,30,360,Pants,L,Yellow,Cotton,Yes,No,13
2020-03-30,1001,39,546,T-Shirts,L,Blue,Cotton,Yes,No,14
2020-03-30,1002,3,39,Top,XL,White,Polyester,Yes,Yes,10
2020-03-30,2001,22,330,Pants,M,Blue,Cotton,Yes,Yes,12
2020-03-31,1001,31,434,T-Shirts,M,Yellow,Cotton,No,Yes,13
2020-03-31,1002,42,546,Top,XL,Blue,Polyester,Yes,No,11
2020-03-31,2001,4,64,Pants,XL,Blue,Cotton,Yes,No,5
2020-04-01,1001,50,500,T-Shirts,M,Blue,Cotton,No,Yes,11
2020-04-01,1002,38,418,Top,L,Black,Polyester,No,Yes,8
2020-04-01,2001,45,855,Pants,S,Red,Cotton,No,No,7
2020-04-02,1001,14,154,T-Shirts,L,Red,Cotton,No,Yes,10
2020-04-02,1002,11,187,Top,S,Blue,Polyester,No,No,12
2020-04-02,2001,40,400,Pants,XXL,Yellow,Cotton,No,Yes,12
2020-04-03,1001,11,143,T-Shirts,S,Black,Cotton,No,Yes,8
2020-04-03,1002,13,91,Top,M,White,Polyester,Yes,No,11
2020-04-03,2001,31,186,Pants,XXL,Green,Cotton,Yes,No,9
2020-04-04,1001,47,893,T-Shirts,M,Yellow,Cotton,No,Yes,11
2020-04-04,1002,6,36,Top,S,Yellow,Polyester,Yes,Yes,7
2020-04-04,2001,40,440,Pants,L,White,Cotton,No,Yes,10
2020-04-05,1001,21,147,T-Shirts,L,Green,Cotton,Yes,Yes,13
2020-04-05,1002,16,288,Top,S,White,Polyester,No,Yes,8
2020-04-05,2001,15,210,Pants,L,Green,Cotton,No,No,7
2020-04-06,1001,45,225,T-Shirts,S,Red,Cotton,No,No,10
2020-04-06,1002,48,960,Top,L,Blue,Polyester,Yes,Yes,7
2020-04-06,2001,49,784,Pants,L,Green,Cotton,Yes,No,14
2020-04-07,1001,32,224,T-Shirts,XXL,Red,Cotton,Yes,No,14
2020-04-07,1002,24,192,Top,M,Yellow,Polyester,No,No,12
2020-04-07,2001,7,112,Pants,XL,Blue,Cotton,No,Yes,8
2020-04-08,1001,43,215,T-Shirts,M,Blue,Cotton,No,Yes,5
2020-04-08,1002,16,80,Top,XL,Green,Polyester,Yes,No,12
2020-04-08,2001,12,72,Pants,M,Red,Cotton,No,No,14
2020-04-09,1001,45,630,T-Shirts,S,Blue,Cotton,No,Yes,5
2020-04-09,1002,45,630,Top,XXL,Yellow,Polyester,Yes,Yes,9
2020-04-09,2001,4,68,Pants,XL,Blue,Cotton,Yes,Yes,7
2020-04-10,1001,41,205,T-Shirts,M,White,Cotton,No,Yes,12
2020-04-10,1002,45,315,Top,M,White,Polyester,No,Yes,12
2020-04-10,2001,28,504,Pants,XL,Red,Cotton,Yes,No,9
2020-04-11,1001,4,52,T-Shirts,L,Green,Cotton,Yes,Yes,5
2020-04-11,1002,12,168,Top,L,Blue,Polyester,No,Yes,11
2020-04-11,2001,28,196,Pants,S,White,Cotton,No,No,7
2020-04-12,1001,6,66,T-Shirts,M,Green,Cotton,Yes,No,14
2020-04-12,1002,12,132,Top,M,Green,Polyester,No,No,10
2020-04-12,2001,28,252,Pants,XXL,Black,Cotton,Yes,No,9
2020-04-13,1001,27,135,T-Shirts,XXL,Black,Cotton,No,No,8
2020-04-13,1002,9,81,Top,XL,White,Polyester,Yes,Yes,13
2020-04-13,2001,28,392,Pants,S,Black,Cotton,No,Yes,9
2020-04-14,1001,11,110,T-Shirts,L,Black,Cotton,No,No,13
2020-04-14,1002,37,407,Top,S,Blue,Polyester,Yes,Yes,12
2020-04-14,2001,29,232,Pants,XXL,Blue,Cotton,No,No,9
2020-04-15,1001,21,252,T-Shirts,S,Black,Cotton,Yes,No,14
2020-04-15,1002,26,338,Top,XL,White,Polyester,No,No,12
2020-04-15,2001,11,66,Pants,S,Yellow,Cotton,No,Yes,7
2020-04-16,1001,27,459,T-Shirts,M,Yellow,Cotton,Yes,No,12
2020-04-16,1002,12,60,Top,M,Black,Polyester,Yes,No,10
2020-04-16,2001,43,344,Pants,L,White,Cotton,No,Yes,7
2020-04-17,1001,43,258,T-Shirts,XXL,Blue,Cotton,No,Yes,13
2020-04-17,1002,11,176,Top,XL,Red,Polyester,No,Yes,7
2020-04-17,2001,15,195,Pants,XL,Blue,Cotton,Yes,No,9
2020-04-18,1001,34,374,T-Shirts,L,Green,Cotton,No,Yes,13
2020-04-18,1002,12,96,Top,S,Red,Polyester,Yes,Yes,14
2020-04-18,2001,4,24,Pants,S,Green,Cotton,No,No,9
2020-04-19,1001,14,154,T-Shirts,XL,White,Cotton,No,Yes,6
2020-04-19,1002,25,325,Top,XL,Red,Polyester,Yes,No,12
2020-04-19,2001,7,112,Pants,XXL,Red,Cotton,Yes,No,11
2020-04-20,1001,10,180,T-Shirts,S,Yellow,Cotton,No,No,12
2020-04-20,1002,23,253,Top,XL,Yellow,Polyester,No,Yes,14
2020-04-20,2001,42,756,Pants,L,Black,Cotton,No,No,11
2020-04-21,1001,23,138,T-Shirts,XXL,White,Cotton,Yes,Yes,9
2020-04-21,1002,8,136,Top,M,Blue,Polyester,No,Yes,8
2020-04-21,2001,24,240,Pants,S,Red,Cotton,No,Yes,12
2020-04-22,1001,30,270,T-Shirts,XXL,Blue,Cotton,No,Yes,14
2020-04-22,1002,40,400,Top,XL,White,Polyester,Yes,Yes,7
2020-04-22,2001,28,448,Pants,S,Green,Cotton,Yes,Yes,7
2020-04-23,1001,38,456,T-Shirts,XL,Yellow,Cotton,No,Yes,11
2020-04-23,1002,8,136,Top,L,Red,Polyester,No,Yes,7
2020-04-23,2001,39,546,Pants,M,Green,Cotton,Yes,Yes,12
2020-04-24,1001,7,77,T-Shirts,L,Red,Cotton,Yes,No,7
2020-04-24,1002,27,297,Top,M,Black,Polyester,Yes,Yes,6
2020-04-24,2001,29,145,Pants,S,Blue,Cotton,Yes,No,14
2020-04-25,1001,25,500,T-Shirts,L,White,Cotton,Yes,No,6
2020-04-25,1002,38,342,Top,XXL,Black,Polyester,No,Yes,12
2020-04-25,2001,42,210,Pants,XL,Red,Cotton,No,No,11
2020-04-26,1001,9,63,T-Shirts,XXL,Red,Cotton,Yes,No,14
2020-04-26,1002,44,660,Top,XL,Red,Polyester,Yes,No,9
2020-04-26,2001,21,147,Pants,XL,White,Cotton,Yes,Yes,14
2020-04-27,1001,42,420,T-Shirts,XL,Black,Cotton,Yes,No,9
2020-04-27,1002,45,360,Top,M,White,Polyester,No,Yes,8
2020-04-27,2001,44,880,Pants,XXL,Blue,Cotton,No,No,12
2020-04-28,1001,23,368,T-Shirts,XXL,Yellow,Cotton,No,Yes,13
2020-04-28,1002,9,72,Top,M,White,Polyester,Yes,No,7
2020-04-28,2001,11,209,Pants,M,Yellow,Cotton,No,Yes,7
2020-04-29,1001,5,70,T-Shirts,M,White,Cotton,Yes,No,10
2020-04-29,1002,8,144,Top,M,White,Polyester,No,No,6
2020-04-29,2001,24,168,Pants,XXL,Green,Cotton,No,Yes,12
2020-04-30,1001,19,114,T-Shirts,XXL,Black,Cotton,Yes,Yes,9
2020-04-30,1002,18,360,Top,XXL,Red,Polyester,No,Yes,6
2020-04-30,2001,35,350,Pants,L,Green,Cotton,No,No,11
2020-05-01,1001,40,400,T-Shirts,L,Black,Cotton,Yes,No,10
2020-05-01,1002,45,270,Top,M,Green,Polyester,Yes,Yes,8
2020-05-01,2001,7,98,Pants,XL,Yellow,Cotton,No,Yes,14
2020-05-02,1001,18,90,T-Shirts,XL,Blue,Cotton,Yes,No,7
2020-05-02,1002,10,180,Top,L,Green,Polyester,Yes,No,9
