Date,Product Code,Sales Quantity,Sales Revenue,Category,Size,Color,Material,Promo 1,Promo 2,Lead Time (days)
2017-01-05,4001,6,30,Sweater,M,Red,Wool,Yes,Yes,7
2017-01-05,4002,25,500,Cardigan,XXL,Green,Cashmere,Yes,Yes,14
2017-01-05,5001,16,96,Blouse,XXS,Green,Silk,No,No,7
2017-01-05,5002,2,32,Jacket,L,Red,Leather,No,Yes,7
2017-01-05,6001,27,135,Shorts,S,White,Denim,No,Yes,7
2017-01-05,6002,14,70,Leggings,XS,Blue,Spandex,No,No,6
2017-01-05,7001,3,33,Coat,L,White,Wool,No,Yes,6
2017-01-05,7002,39,702,Parka,XXL,Green,Nylon,Yes,Yes,13
2017-01-05,7003,6,60,Trench Coat,XXS,Red,Cotton,Yes,No,9
2017-01-05,8001,20,220,Hoodie,XS,Black,Cotton,No,No,14
2017-01-05,8002,20,180,Sweatshirt,XXL,Yellow,Polyester,No,Yes,14
2017-01-05,9001,49,294,Blazer,M,Black,Cotton,Yes,No,10
2017-01-05,9002,11,121,Suit,S,White,Wool,No,Yes,9
2017-01-05,9003,20,220,Polo Shirt,XXL,Blue,Cotton,No,Yes,6
2017-01-05,9004,46,874,Trousers,XS,Yellow,Polyester,Yes,Yes,5
2017-01-06,1001,6,84,T-Shirts,XL,White,Cotton,Yes,Yes,12
2017-01-06,1002,41,246,Top,S,Blue,Polyester,No,No,14
2017-01-06,2001,8,104,Pants,M,Green,Cotton,Yes,Yes,13
2017-01-06,2002,26,130,Jeans,XXS,Green,Denim,Yes,No,7
2017-01-06,3001,37,333,Dress,XXL,White,Chiffon,Yes,Yes,7
2017-01-06,3002,7,84,Skirt,XL,White,Cotton,No,Yes,8
2017-01-06,3003,3,45,Jumpsuit,S,Blue,Silk,Yes,Yes,12
2017-01-06,4001,26,130,Sweater,XXL,Blue,Wool,Yes,No,7
2017-01-06,4002,18,90,Cardigan,M,Yellow,Cashmere,Yes,No,5
2017-01-06,5001,36,180,Blouse,XL,Blue,Silk,Yes,Yes,9
2017-01-06,5002,25,450,Jacket,XL,White,Leather,Yes,No,5
2017-01-06,6001,33,495,Shorts,XS,Green,Denim,Yes,No,6
2017-01-06,6002,39,546,Leggings,XL,Black,Spandex,No,Yes,6
2017-01-06,7001,47,940,Coat,XXL,Blue,Wool,Yes,No,6
2017-01-06,7002,7,63,Parka,S,Blue,Nylon,No,No,14
2017-01-06,7003,37,259,Trench Coat,XS,Red,Cotton,Yes,No,5
2017-01-06,8001,20,400,Hoodie,XS,White,Cotton,No,Yes,14
2017-01-06,8002,34,408,Sweatshirt,S,Red,Polyester,Yes,No,12
2017-01-06,9001,3,33,Blazer,XL,White,Cotton,Yes,No,6
2017-01-06,9002,20,360,Suit,L,Red,Wool,No,No,14
2017-01-06,9003,11,220,Polo Shirt,XL,Blue,Cotton,Yes,Yes,7
2017-01-06,9004,23,253,Trousers,XXS,White,Polyester,Yes,No,6
2017-01-07,1001,32,608,T-Shirts,XS,Blue,Cotton,Yes,No,7
2017-01-07,1002,12,108,Top,S,Blue,Polyester,No,No,11
2017-01-07,2001,30,330,Pants,XL,Yellow,Cotton,Yes,No,7
2017-01-07,2002,34,476,Jeans,XL,Yellow,Denim,Yes,No,10
2017-01-07,3001,20,340,Dress,L,Yellow,Chiffon,No,No,6
2017-01-07,3002,9,72,Skirt,XS,White,Cotton,Yes,Yes,7
2017-01-07,3003,41,246,Jumpsuit,XL,White,Silk,No,Yes,14
2017-01-07,4001,36,684,Sweater,S,Blue,Wool,Yes,No,9
2017-01-07,4002,4,64,Cardigan,XXS,Red,Cashmere,No,No,5
2017-01-07,5001,1,18,Blouse,XXL,Green,Silk,Yes,No,12
2017-01-07,5002,38,722,Jacket,XXS,Yellow,Leather,No,No,13
2017-01-07,6001,18,162,Shorts,XL,Blue,Denim,No,Yes,13
2017-01-07,6002,21,336,Leggings,S,Blue,Spandex,Yes,Yes,6
2017-01-07,7001,49,784,Coat,L,Black,Wool,Yes,Yes,11
2017-01-07,7002,12,228,Parka,XS,Red,Nylon,Yes,Yes,5
2017-01-07,7003,38,456,Trench Coat,M,Green,Cotton,Yes,No,11
2017-01-07,8001,24,360,Hoodie,XS,Red,Cotton,No,Yes,9
2017-01-07,8002,26,416,Sweatshirt,XS,Yellow,Polyester,No,No,9
2017-01-07,9001,33,330,Blazer,M,Green,Cotton,Yes,No,10
2017-01-07,9002,44,484,Suit,L,Blue,Wool,Yes,No,13
2017-01-07,9003,19,304,Polo Shirt,XL,Blue,Cotton,Yes,No,11
2017-01-07,9004,27,243,Trousers,XXS,Red,Polyester,No,No,14
2017-01-08,1001,43,387,T-Shirts,XXL,Blue,Cotton,Yes,No,5
2017-01-08,1002,13,78,Top,XL,Red,Polyester,No,No,11
2017-01-08,2001,23,299,Pants,L,White,Cotton,Yes,Yes,6
2017-01-08,2002,39,702,Jeans,S,Black,Denim,Yes,No,6
2017-01-08,3001,9,54,Dress,M,Red,Chiffon,No,No,13
2017-01-08,3002,19,152,Skirt,XS,Black,Cotton,No,Yes,14
2017-01-08,3003,49,833,Jumpsuit,XXL,Black,Silk,No,Yes,11
2017-01-08,4001,4,28,Sweater,S,White,Wool,Yes,Yes,6
2017-01-08,4002,26,468,Cardigan,XXS,White,Cashmere,No,Yes,9
2017-01-08,5001,10,80,Blouse,XL,Yellow,Silk,Yes,No,6
2017-01-08,5002,1,14,Jacket,XL,Red,Leather,No,No,11
2017-01-08,6001,37,185,Shorts,S,Green,Denim,Yes,No,9
2017-01-08,6002,50,800,Leggings,L,Blue,Spandex,Yes,Yes,12
2017-01-08,7001,26,390,Coat,XXL,White,Wool,No,Yes,9
2017-01-08,7002,24,144,Parka,S,Blue,Nylon,No,No,12
2017-01-08,7003,17,170,Trench Coat,XXL,Blue,Cotton,No,Yes,13
2017-01-08,8001,17,119,Hoodie,XS,Black,Cotton,No,No,12
2017-01-08,8002,35,595,Sweatshirt,XS,White,Polyester,No,No,12
2017-01-08,9001,30,450,Blazer,XXL,Blue,Cotton,Yes,No,10
2017-01-08,9002,43,817,Suit,S,Black,Wool,No,Yes,12
2017-01-08,9003,6,30,Polo Shirt,XL,Red,Cotton,No,No,11
2017-01-08,9004,22,330,Trousers,XS,Black,Polyester,Yes,No,9
2017-01-09,1001,30,240,T-Shirts,L,Yellow,Cotton,Yes,Yes,11
2017-01-09,1002,35,455,Top,XL,White,Polyester,Yes,No,6
2017-01-09,2001,24,288,Pants,L,Green,Cotton,No,No,10
2017-01-09,2002,48,816,Jeans,XXS,Red,Denim,Yes,Yes,12
2017-01-09,3001,50,750,Dress,M,White,Chiffon,Yes,No,8
2017-01-09,3002,8,144,Skirt,L,Red,Cotton,Yes,No,7
2017-01-09,3003,35,630,Jumpsuit,XXS,Black,Silk,Yes,Yes,8
2017-01-09,4001,43,215,Sweater,S,Yellow,Wool,No,No,5
2017-01-09,4002,36,216,Cardigan,XS,Red,Cashmere,Yes,No,14
2017-01-09,5001,48,288,Blouse,XXS,Yellow,Silk,Yes,No,10
2017-01-09,5002,16,192,Jacket,XXS,Green,Leather,Yes,Yes,14
2017-01-09,6001,16,240,Shorts,XXL,Black,Denim,No,No,8
2017-01-09,6002,49,686,Leggings,L,Red,Spandex,Yes,Yes,10
2017-01-09,7001,40,560,Coat,L,Yellow,Wool,Yes,Yes,7
2017-01-09,7002,2,26,Parka,M,White,Nylon,Yes,No,11
2017-01-09,7003,35,315,Trench Coat,XS,Green,Cotton,No,Yes,5
2017-01-09,8001,31,527,Hoodie,XS,Black,Cotton,No,Yes,6
2017-01-09,8002,34,646,Sweatshirt,XL,Red,Polyester,Yes,Yes,14
2017-01-09,9001,50,750,Blazer,S,Green,Cotton,No,Yes,12
2017-01-09,9002,11,66,Suit,M,Black,Wool,No,Yes,5
2017-01-09,9003,19,361,Polo Shirt,XS,Green,Cotton,No,Yes,7
2017-01-09,9004,16,224,Trousers,XXL,Blue,Polyester,Yes,Yes,7
2017-01-10,1001,33,660,T-Shirts,XL,Blue,Cotton,No,Yes,11
2017-01-10,1002,37,370,Top,S,White,Polyester,Yes,No,14
2017-01-10,2001,14,210,Pants,XXS,Black,Cotton,No,No,12
2017-01-10,2002,7,98,Jeans,S,Blue,Denim,No,No,6
2017-01-10,3001,5,100,Dress,XXL,Black,Chiffon,No,Yes,10
2017-01-10,3002,49,294,Skirt,XXL,White,Cotton,No,No,6
2017-01-10,3003,42,420,Jumpsuit,L,Red,Silk,Yes,No,8
2017-01-10,4001,41,615,Sweater,S,Blue,Wool,Yes,Yes,12
2017-01-10,4002,23,437,Cardigan,L,Red,Cashmere,Yes,No,13
2017-01-10,5001,2,16,Blouse,XL,Red,Silk,No,Yes,6
2017-01-10,5002,2,10,Jacket,XXL,White,Leather,Yes,No,14
2017-01-10,6001,7,119,Shorts,XL,Black,Denim,Yes,No,7
2017-01-10,6002,15,120,Leggings,L,Green,Spandex,Yes,Yes,10
2017-01-10,7001,33,660,Coat,XS,Blue,Wool,Yes,No,9
2017-01-10,7002,40,320,Parka,XL,Black,Nylon,No,No,13
2017-01-10,7003,48,816,Trench Coat,XS,Blue,Cotton,Yes,No,10
2017-01-10,8001,36,720,Hoodie,M,Black,Cotton,No,No,10
2017-01-10,8002,43,860,Sweatshirt,XXS,Red,Polyester,No,Yes,8
2017-01-10,9001,28,168,Blazer,XXS,White,Cotton,No,No,12
2017-01-10,9002,50,550,Suit,M,White,Wool,Yes,Yes,5
2017-01-10,9003,17,119,Polo Shirt,M,Red,Cotton,No,No,7
2017-01-10,9004,41,779,Trousers,S,Black,Polyester,No,No,12
2017-01-11,1001,32,320,T-Shirts,XL,Green,Cotton,Yes,Yes,10
2017-01-11,1002,41,697,Top,M,Blue,Polyester,No,No,14
2017-01-11,2001,35,560,Pants,XL,White,Cotton,Yes,Yes,7
2017-01-11,2002,14,126,Jeans,L,Green,Denim,Yes,No,12
2017-01-11,3001,42,294,Dress,S,Green,Chiffon,Yes,Yes,9
2017-01-11,3002,32,320,Skirt,XS,Black,Cotton,No,Yes,8
2017-01-11,3003,15,105,Jumpsuit,S,Red,Silk,No,Yes,5
2017-01-11,4001,18,144,Sweater,S,White,Wool,No,Yes,13
2017-01-11,4002,9,144,Cardigan,S,White,Cashmere,Yes,Yes,5
2017-01-11,5001,22,352,Blouse,XXL,Red,Silk,No,No,8
2017-01-11,5002,32,544,Jacket,XXS,Green,Leather,Yes,Yes,8
2017-01-11,6001,28,224,Shorts,L,Red,Denim,No,No,14
2017-01-11,6002,20,380,Leggings,XL,Black,Spandex,Yes,No,6
2017-01-11,7001,19,266,Coat,S,Blue,Wool,No,No,12
2017-01-11,7002,37,296,Parka,XXL,Blue,Nylon,Yes,No,7
2017-01-11,7003,19,133,Trench Coat,XXS,Green,Cotton,Yes,Yes,6
2017-01-11,8001,20,400,Hoodie,XXL,Red,Cotton,Yes,Yes,8
2017-01-11,8002,48,480,Sweatshirt,XXL,White,Polyester,No,Yes,5
2017-01-11,9001,36,612,Blazer,XL,Black,Cotton,No,Yes,7
2017-01-11,9002,33,462,Suit,XXL,Yellow,Wool,No,No,6
2017-01-11,9003,23,391,Polo Shirt,L,Red,Cotton,No,Yes,7
2017-01-11,9004,33,561,Trousers,XXS,White,Polyester,No,Yes,8
2017-01-12,1001,39,429,T-Shirts,XXL,Red,Cotton,No,No,7
2017-01-12,1002,49,931,Top,S,Green,Polyester,Yes,No,12
2017-01-12,2001,5,60,Pants,S,Black,Cotton,Yes,Yes,8
2017-01-12,2002,46,414,Jeans,XL,Blue,Denim,Yes,No,14
2017-01-12,3001,26,468,Dress,XXL,Yellow,Chiffon,Yes,Yes,10
2017-01-12,3002,33,198,Skirt,XS,Black,Cotton,No,Yes,8
2017-01-12,3003,44,440,Jumpsuit,XL,White,Silk,No,No,6
2017-01-12,4001,42,378,Sweater,XL,Red,Wool,No,No,10
2017-01-12,4002,6,66,Cardigan,S,Red,Cashmere,No,Yes,11
2017-01-12,5001,14,210,Blouse,L,White,Silk,Yes,Yes,8
2017-01-12,5002,22,418,Jacket,S,Green,Leather,Yes,No,9
2017-01-12,6001,13,156,Shorts,XS,Blue,Denim,No,No,5
2017-01-12,6002,16,112,Leggings,XS,Green,Spandex,No,No,12
2017-01-12,7001,2,24,Coat,L,White,Wool,No,Yes,13
2017-01-12,7002,6,30,Parka,S,Blue,Nylon,No,No,5
2017-01-12,7003,33,429,Trench Coat,M,Green,Cotton,No,Yes,8
2017-01-12,8001,47,376,Hoodie,XXS,Red,Cotton,No,No,5
2017-01-12,8002,50,950,Sweatshirt,XXS,Green,Polyester,Yes,No,6
2017-01-12,9001,39,351,Blazer,L,Blue,Cotton,No,No,5
2017-01-12,9002,27,270,Suit,S,White,Wool,No,Yes,8
2017-01-12,9003,14,182,Polo Shirt,S,Red,Cotton,Yes,Yes,6
2017-01-12,9004,46,782,Trousers,XXL,Yellow,Polyester,Yes,No,12
2017-01-13,1001,21,399,T-Shirts,XXS,Black,Cotton,No,No,8
2017-01-13,1002,17,340,Top,M,Green,Polyester,No,No,13
2017-01-13,2001,42,210,Pants,XXL,Blue,Cotton,No,No,13
2017-01-13,2002,47,705,Jeans,XS,Red,Denim,No,Yes,8
2017-01-13,3001,19,228,Dress,XXS,Red,Chiffon,Yes,No,12
2017-01-13,3002,25,350,Skirt,S,Blue,Cotton,Yes,Yes,9
2017-01-13,3003,48,480,Jumpsuit,S,Yellow,Silk,Yes,No,5
2017-01-13,4001,4,68,Sweater,M,Yellow,Wool,No,No,6
2017-01-13,4002,50,700,Cardigan,L,Black,Cashmere,Yes,No,12
2017-01-13,5001,1,14,Blouse,L,Black,Silk,Yes,Yes,8
2017-01-13,5002,9,90,Jacket,XXL,White,Leather,No,Yes,14
2017-01-13,6001,46,644,Shorts,XXL,Blue,Denim,No,No,13
2017-01-13,6002,2,20,Leggings,XXS,White,Spandex,No,No,9
2017-01-13,7001,49,539,Coat,XS,White,Wool,No,No,9
2017-01-13,7002,29,493,Parka,XXL,Green,Nylon,No,No,8
2017-01-13,7003,26,312,Trench Coat,XS,Black,Cotton,No,No,12
2017-01-13,8001,10,110,Hoodie,L,Green,Cotton,No,Yes,14
2017-01-13,8002,16,304,Sweatshirt,XXS,White,Polyester,Yes,Yes,8
2017-01-13,9001,14,252,Blazer,L,Yellow,Cotton,Yes,Yes,12
2017-01-13,9002,5,25,Suit,XL,Yellow,Wool,No,No,11
2017-01-13,9003,4,72,Polo Shirt,XS,Black,Cotton,Yes,Yes,10
2017-01-13,9004,2,10,Trousers,XXL,Yellow,Polyester,Yes,No,14
2017-01-14,1001,35,490,T-Shirts,S,Green,Cotton,No,No,6
2017-01-14,1002,37,592,Top,M,Red,Polyester,Yes,No,11
2017-01-14,2001,1,17,Pants,S,White,Cotton,Yes,No,11
2017-01-14,2002,4,28,Jeans,S,Green,Denim,Yes,No,11
2017-01-14,3001,36,612,Dress,XS,Blue,Chiffon,Yes,Yes,6
2017-01-14,3002,31,434,Skirt,XL,Blue,Cotton,No,Yes,7
2017-01-14,3003,37,518,Jumpsuit,L,Green,Silk,Yes,No,10
2017-01-14,4001,26,312,Sweater,L,Black,Wool,Yes,No,14
2017-01-14,4002,37,555,Cardigan,L,White,Cashmere,Yes,Yes,6
2017-01-14,5001,11,66,Blouse,XS,White,Silk,No,Yes,14
2017-01-14,5002,21,105,Jacket,XXS,Green,Leather,Yes,No,5
2017-01-14,6001,31,527,Shorts,M,Blue,Denim,No,No,5
2017-01-14,6002,12,108,Leggings,XL,White,Spandex,No,No,9
2017-01-14,7001,30,420,Coat,S,Blue,Wool,Yes,No,7
2017-01-14,7002,44,572,Parka,XL,Green,Nylon,No,Yes,14
2017-01-14,7003,8,48,Trench Coat,XXL,White,Cotton,Yes,Yes,5
2017-01-14,8001,27,162,Hoodie,M,Yellow,Cotton,No,No,14
2017-01-14,8002,8,144,Sweatshirt,XXS,Green,Polyester,Yes,No,13
2017-01-14,9001,38,608,Blazer,XS,Blue,Cotton,Yes,No,9
2017-01-14,9002,13,208,Suit,XS,Black,Wool,Yes,No,8
2017-01-14,9003,36,684,Polo Shirt,XXL,Blue,Cotton,Yes,No,9
2017-01-14,9004,7,133,Trousers,XXL,Yellow,Polyester,No,No,13
2017-01-15,1001,32,288,T-Shirts,XXL,Yellow,Cotton,No,Yes,5
2017-01-15,1002,43,344,Top,XXL,Yellow,Polyester,Yes,No,13
2017-01-15,2001,21,420,Pants,S,Black,Cotton,Yes,No,8
2017-01-15,2002,36,360,Jeans,XL,Black,Denim,No,No,8
2017-01-15,3001,45,720,Dress,XXS,Blue,Chiffon,No,No,6
2017-01-15,3002,12,156,Skirt,XXL,Black,Cotton,No,Yes,6
2017-01-15,3003,33,660,Jumpsuit,L,Green,Silk,Yes,No,12
2017-01-15,4001,21,252,Sweater,XL,Yellow,Wool,Yes,No,8
2017-01-15,4002,10,200,Cardigan,XXL,Green,Cashmere,No,No,8
2017-01-15,5001,37,555,Blouse,L,White,Silk,No,Yes,13
2017-01-15,5002,27,513,Jacket,L,Blue,Leather,Yes,No,7
2017-01-15,6001,49,294,Shorts,L,Blue,Denim,Yes,Yes,14
2017-01-15,6002,21,378,Leggings,XL,Black,Spandex,Yes,No,7
2017-01-15,7001,9,135,Coat,M,Yellow,Wool,Yes,No,7
2017-01-15,7002,40,360,Parka,XS,Black,Nylon,No,Yes,8
2017-01-15,7003,18,342,Trench Coat,S,Red,Cotton,Yes,Yes,5
2017-01-15,8001,42,630,Hoodie,S,Yellow,Cotton,No,No,7
2017-01-15,8002,19,133,Sweatshirt,L,Black,Polyester,Yes,Yes,6
2017-01-15,9001,30,480,Blazer,XXS,Black,Cotton,Yes,No,8
2017-01-15,9002,21,294,Suit,XXL,White,Wool,No,No,10
2017-01-15,9003,26,130,Polo Shirt,S,Blue,Cotton,No,Yes,6
2017-01-15,9004,47,658,Trousers,M,White,Polyester,Yes,Yes,12
2017-01-16,1001,24,432,T-Shirts,XXL,Red,Cotton,Yes,No,6
2017-01-16,1002,4,44,Top,S,Red,Polyester,No,Yes,14
2017-01-16,2001,14,140,Pants,L,Yellow,Cotton,Yes,No,7
2017-01-16,2002,20,340,Jeans,XXS,Black,Denim,No,Yes,14
2017-01-16,3001,16,128,Dress,XS,White,Chiffon,No,No,6
2017-01-16,3002,14,252,Skirt,XXS,Yellow,Cotton,No,Yes,13
2017-01-16,3003,37,555,Jumpsuit,XL,Yellow,Silk,No,No,14
2017-01-16,4001,2,32,Sweater,M,Red,Wool,No,No,8
2017-01-16,4002,43,860,Cardigan,M,Red,Cashmere,No,No,10
2017-01-16,5001,44,440,Blouse,M,White,Silk,No,Yes,14
2017-01-16,5002,43,301,Jacket,L,White,Leather,Yes,No,11
2017-01-16,6001,8,120,Shorts,XXL,Blue,Denim,Yes,Yes,7
2017-01-16,6002,46,920,Leggings,XXS,White,Spandex,No,No,12
2017-01-16,7001,24,408,Coat,M,Red,Wool,No,No,13
2017-01-16,7002,44,748,Parka,L,Blue,Nylon,No,No,11
2017-01-16,7003,35,630,Trench Coat,XXS,Yellow,Cotton,No,Yes,7
2017-01-16,8001,14,112,Hoodie,M,Blue,Cotton,No,No,12
2017-01-16,8002,29,377,Sweatshirt,L,Black,Polyester,Yes,No,10
2017-01-16,9001,30,360,Blazer,L,Blue,Cotton,No,No,6
2017-01-16,9002,3,24,Suit,XS,White,Wool,No,No,9
2017-01-16,9003,34,340,Polo Shirt,S,Green,Cotton,Yes,No,9
2017-01-16,9004,2,16,Trousers,L,Red,Polyester,Yes,Yes,7
2017-01-17,1001,30,270,T-Shirts,XXS,Green,Cotton,Yes,No,11
2017-01-17,1002,47,893,Top,XXS,Yellow,Polyester,Yes,No,13
2017-01-17,2001,10,60,Pants,M,Blue,Cotton,Yes,No,5
2017-01-17,2002,4,20,Jeans,XXS,Red,Denim,Yes,No,12
2017-01-17,3001,46,230,Dress,XS,Yellow,Chiffon,Yes,No,13
2017-01-17,3002,21,336,Skirt,XXL,White,Cotton,Yes,No,7
2017-01-17,3003,16,320,Jumpsuit,S,Red,Silk,No,Yes,13
2017-01-17,4001,4,32,Sweater,XS,Green,Wool,Yes,No,11
2017-01-17,4002,43,516,Cardigan,S,Blue,Cashmere,No,No,9
2017-01-17,5001,16,96,Blouse,XS,White,Silk,No,No,6
2017-01-17,5002,39,780,Jacket,XXS,White,Leather,No,Yes,5
2017-01-17,6001,37,259,Shorts,XXL,Green,Denim,No,No,12
