Date,Product Code,Sales Quantity,Sales Revenue,Category,RAM,ROM,Model,Promo 1,Promo 2,Lead Time (days)
2018-01-03,2004,6,600000,Nokia,8,512,X30 5G,Yes,Yes,7
2018-01-04,1001,43,3440000,Samsung,16,256,S23 Ultra,Yes,No,6
2018-01-04,1002,4,320000,Apple,4,256,Iphone 14 Pro Max,Yes,Yes,5
2018-01-04,1003,4,400000,Huawei,6,512,P50 Ultra,Yes,Yes,14
2018-01-04,1004,27,2970000,Sony,6,128,Xperia 1,Yes,No,13
2018-01-04,1005,11,1430000,Oppo,12,512,Find x4,No,Yes,5
2018-01-04,1006,43,2580000,Vivo,8,128,X80,No,Yes,13
2018-01-04,1007,19,2850000,IQOO,4,512,11,Yes,No,7
2018-01-04,1008,43,7310000,Xiaomi,8,512,13 Ultra,Yes,No,11
2018-01-04,1009,12,2280000,Realme,12,128,GT4,No,No,14
2018-01-04,2001,47,7050000,Oneplus,8,64,10 pro,No,No,11
2018-01-04,2002,49,8820000,Poco,8,64,X4 Pro 5G,Yes,Yes,8
2018-01-04,2003,28,1400000,Motorola,12,64,Edge Plus,No,Yes,13
2018-01-04,2004,10,1700000,Nokia,4,128,X30 5G,Yes,No,6
2018-01-05,1001,47,6110000,Samsung,12,256,S23 Ultra,Yes,Yes,8
2018-01-05,1002,28,1680000,Apple,8,128,Iphone 14 Pro Max,No,No,14
2018-01-05,1003,29,5800000,Huawei,6,512,P50 Ultra,Yes,No,12
2018-01-05,1004,13,910000,Sony,8,64,Xperia 1,Yes,No,14
2018-01-05,1005,6,1020000,Oppo,12,512,Find x4,No,Yes,12
2018-01-05,1006,44,3960000,Vivo,6,256,X80,Yes,Yes,13
2018-01-05,1007,30,4500000,IQOO,8,256,11,Yes,No,8
2018-01-05,1008,9,1620000,Xiaomi,16,256,13 Ultra,No,No,8
2018-01-05,1009,23,3910000,Realme,16,256,GT4,Yes,No,9
2018-01-05,2001,14,2380000,Oneplus,4,128,10 pro,No,Yes,12
2018-01-05,2002,38,2660000,Poco,12,512,X4 Pro 5G,No,No,11
2018-01-05,2003,14,2240000,Motorola,8,512,Edge Plus,No,Yes,11
2018-01-05,2004,44,4400000,Nokia,16,128,X30 5G,Yes,No,11
2018-01-06,1001,30,2700000,Samsung,8,256,S23 Ultra,Yes,No,10
2018-01-06,1002,10,800000,Apple,8,256,Iphone 14 Pro Max,Yes,Yes,9
2018-01-06,1003,7,1260000,Huawei,8,512,P50 Ultra,No,No,9
2018-01-06,1004,38,6840000,Sony,6,128,Xperia 1,No,Yes,6
2018-01-06,1005,46,3680000,Oppo,16,512,Find x4,Yes,Yes,11
2018-01-06,1006,34,6120000,Vivo,8,64,X80,Yes,No,12
2018-01-06,1007,30,5100000,IQOO,12,256,11,No,No,12
2018-01-06,1008,18,3600000,Xiaomi,6,64,13 Ultra,Yes,No,9
2018-01-06,1009,19,3420000,Realme,12,128,GT4,Yes,No,5
2018-01-06,2001,29,5800000,Oneplus,12,64,10 pro,No,Yes,7
2018-01-06,2002,38,6840000,Poco,8,64,X4 Pro 5G,No,Yes,10
2018-01-06,2003,4,440000,Motorola,8,128,Edge Plus,Yes,Yes,7
2018-01-06,2004,10,1900000,Nokia,4,64,X30 5G,Yes,Yes,12
2018-01-07,1001,28,1960000,Samsung,16,256,S23 Ultra,No,No,6
2018-01-07,1002,3,330000,Apple,12,256,Iphone 14 Pro Max,Yes,No,14
2018-01-07,1003,48,8160000,Huawei,6,64,P50 Ultra,Yes,Yes,5
2018-01-07,1004,4,320000,Sony,16,256,Xperia 1,No,No,6
2018-01-07,1005,9,1710000,Oppo,6,128,Find x4,No,Yes,8
2018-01-07,1006,29,2320000,Vivo,4,128,X80,No,No,7
2018-01-07,1007,28,5040000,IQOO,4,256,11,No,Yes,10
2018-01-07,1008,1,50000,Xiaomi,12,512,13 Ultra,Yes,No,13
2018-01-07,1009,20,1400000,Realme,4,512,GT4,No,No,11
2018-01-07,2001,1,200000,Oneplus,4,512,10 pro,No,No,7
2018-01-07,2002,50,7500000,Poco,6,512,X4 Pro 5G,Yes,Yes,14
2018-01-07,2003,20,4000000,Motorola,12,64,Edge Plus,No,No,6
2018-01-07,2004,48,5280000,Nokia,6,256,X30 5G,Yes,Yes,9
2018-01-08,1001,4,280000,Samsung,6,512,S23 Ultra,No,No,7
2018-01-08,1002,31,5890000,Apple,12,256,Iphone 14 Pro Max,No,No,14
2018-01-08,1003,19,1140000,Huawei,4,256,P50 Ultra,Yes,Yes,11
2018-01-08,1004,2,280000,Sony,12,256,Xperia 1,No,Yes,13
2018-01-08,1005,4,200000,Oppo,16,256,Find x4,No,No,14
2018-01-08,1006,27,2430000,Vivo,16,256,X80,Yes,Yes,14
2018-01-08,1007,26,1560000,IQOO,16,64,11,Yes,Yes,10
2018-01-08,1008,8,480000,Xiaomi,8,512,13 Ultra,Yes,No,8
2018-01-08,1009,8,720000,Realme,12,256,GT4,No,Yes,9
2018-01-08,2001,18,2700000,Oneplus,16,128,10 pro,Yes,Yes,13
2018-01-08,2002,26,3900000,Poco,12,128,X4 Pro 5G,Yes,Yes,9
2018-01-08,2003,12,840000,Motorola,8,64,Edge Plus,Yes,No,5
2018-01-08,2004,4,320000,Nokia,4,64,X30 5G,No,Yes,11
2018-01-09,1001,47,7520000,Samsung,8,128,S23 Ultra,Yes,No,8
2018-01-09,1002,6,660000,Apple,4,512,Iphone 14 Pro Max,Yes,Yes,11
2018-01-09,1003,37,3700000,Huawei,6,256,P50 Ultra,No,No,13
2018-01-09,1004,10,1300000,Sony,4,512,Xperia 1,Yes,No,6
2018-01-09,1005,21,3780000,Oppo,16,512,Find x4,No,Yes,8
2018-01-09,1006,18,1620000,Vivo,4,128,X80,Yes,Yes,12
2018-01-09,1007,5,250000,IQOO,8,512,11,No,No,13
2018-01-09,1008,35,4550000,Xiaomi,16,64,13 Ultra,No,No,8
2018-01-09,1009,20,3000000,Realme,16,64,GT4,No,Yes,9
2018-01-09,2001,8,960000,Oneplus,6,256,10 pro,Yes,No,6
2018-01-09,2002,18,1260000,Poco,4,128,X4 Pro 5G,No,Yes,5
2018-01-09,2003,15,1050000,Motorola,4,256,Edge Plus,No,No,12
2018-01-09,2004,9,1260000,Nokia,12,128,X30 5G,Yes,No,9
2018-01-10,1001,43,8600000,Samsung,8,64,S23 Ultra,No,Yes,7
2018-01-10,1002,21,2520000,Apple,4,64,Iphone 14 Pro Max,Yes,Yes,14
2018-01-10,1003,3,570000,Huawei,4,128,P50 Ultra,Yes,Yes,12
2018-01-10,1004,30,2100000,Sony,4,256,Xperia 1,Yes,No,6
2018-01-10,1005,43,8600000,Oppo,8,256,Find x4,Yes,No,13
2018-01-10,1006,14,2800000,Vivo,16,256,X80,No,No,8
2018-01-10,1007,4,360000,IQOO,16,512,11,Yes,No,12
2018-01-10,1008,48,3360000,Xiaomi,6,512,13 Ultra,No,Yes,6
2018-01-10,1009,2,180000,Realme,12,256,GT4,Yes,No,10
2018-01-10,2001,32,5440000,Oneplus,6,128,10 pro,Yes,Yes,8
2018-01-10,2002,12,600000,Poco,16,512,X4 Pro 5G,No,No,14
2018-01-10,2003,1,200000,Motorola,8,128,Edge Plus,Yes,Yes,11
2018-01-10,2004,16,2240000,Nokia,12,64,X30 5G,No,No,10
2018-01-11,1001,19,950000,Samsung,12,64,S23 Ultra,No,No,13
2018-01-11,1002,15,2550000,Apple,12,512,Iphone 14 Pro Max,Yes,No,7
2018-01-11,1003,28,4480000,Huawei,8,64,P50 Ultra,No,No,5
2018-01-11,1004,45,7650000,Sony,16,64,Xperia 1,No,No,12
2018-01-11,1005,29,1450000,Oppo,8,256,Find x4,No,Yes,8
2018-01-11,1006,19,2280000,Vivo,12,64,X80,Yes,Yes,8
2018-01-11,1007,17,2720000,IQOO,16,512,11,No,Yes,12
2018-01-11,1008,28,1400000,Xiaomi,4,64,13 Ultra,Yes,Yes,11
2018-01-11,1009,36,1800000,Realme,6,512,GT4,No,No,5
2018-01-11,2001,21,1050000,Oneplus,16,128,10 pro,Yes,Yes,14
2018-01-11,2002,14,2800000,Poco,16,256,X4 Pro 5G,No,Yes,10
2018-01-11,2003,46,2300000,Motorola,6,64,Edge Plus,No,Yes,12
2018-01-11,2004,32,5120000,Nokia,6,128,X30 5G,No,Yes,6
2018-01-12,1001,32,4160000,Samsung,6,128,S23 Ultra,Yes,Yes,5
2018-01-12,1002,36,6840000,Apple,8,256,Iphone 14 Pro Max,Yes,Yes,11
2018-01-12,1003,29,5510000,Huawei,12,128,P50 Ultra,No,Yes,14
2018-01-12,1004,36,5400000,Sony,6,256,Xperia 1,Yes,No,7
2018-01-12,1005,50,5500000,Oppo,16,512,Find x4,Yes,No,10
2018-01-12,1006,13,2210000,Vivo,6,64,X80,Yes,No,11
2018-01-12,1007,42,5040000,IQOO,4,256,11,No,No,14
2018-01-12,1008,20,2800000,Xiaomi,8,512,13 Ultra,Yes,No,11
2018-01-12,1009,28,2240000,Realme,16,512,GT4,No,Yes,6
2018-01-12,2001,18,2340000,Oneplus,16,64,10 pro,Yes,No,6
2018-01-12,2002,8,720000,Poco,16,64,X4 Pro 5G,Yes,No,6
2018-01-12,2003,23,2070000,Motorola,12,512,Edge Plus,No,Yes,5
2018-01-12,2004,49,7840000,Nokia,8,64,X30 5G,No,Yes,6
2018-01-13,1001,35,2450000,Samsung,6,512,S23 Ultra,No,No,6
2018-01-13,1002,7,350000,Apple,4,256,Iphone 14 Pro Max,Yes,No,10
2018-01-13,1003,12,1080000,Huawei,8,128,P50 Ultra,No,Yes,13
2018-01-13,1004,42,6300000,Sony,12,256,Xperia 1,No,No,10
2018-01-13,1005,37,6660000,Oppo,6,512,Find x4,Yes,Yes,14
2018-01-13,1006,40,6800000,Vivo,16,128,X80,No,Yes,6
2018-01-13,1007,11,1100000,IQOO,4,512,11,No,Yes,6
2018-01-13,1008,14,1680000,Xiaomi,12,256,13 Ultra,Yes,Yes,5
2018-01-13,1009,28,3640000,Realme,6,64,GT4,Yes,No,14
2018-01-13,2001,6,900000,Oneplus,16,256,10 pro,No,No,10
2018-01-13,2002,40,8000000,Poco,16,256,X4 Pro 5G,Yes,Yes,9
2018-01-13,2003,1,170000,Motorola,16,512,Edge Plus,No,No,6
2018-01-13,2004,23,1840000,Nokia,4,128,X30 5G,No,Yes,5
2018-01-14,1001,33,5280000,Samsung,6,512,S23 Ultra,No,No,12
2018-01-14,1002,9,1080000,Apple,6,512,Iphone 14 Pro Max,Yes,Yes,8
2018-01-14,1003,41,2870000,Huawei,6,256,P50 Ultra,No,Yes,11
2018-01-14,1004,27,3510000,Sony,8,64,Xperia 1,No,Yes,10
2018-01-14,1005,30,4500000,Oppo,6,64,Find x4,No,No,12
2018-01-14,1006,32,6400000,Vivo,8,128,X80,No,No,8
2018-01-14,1007,29,3480000,IQOO,8,64,11,Yes,Yes,9
2018-01-14,1008,19,3610000,Xiaomi,8,64,13 Ultra,No,Yes,5
2018-01-14,1009,39,1950000,Realme,12,64,GT4,Yes,Yes,9
2018-01-14,2001,10,1000000,Oneplus,8,512,10 pro,Yes,No,6
2018-01-14,2002,14,2380000,Poco,16,512,X4 Pro 5G,No,No,10
2018-01-14,2003,43,6450000,Motorola,12,512,Edge Plus,No,No,10
2018-01-14,2004,49,9800000,Nokia,4,128,X30 5G,No,Yes,8
2018-01-15,1001,4,200000,Samsung,12,64,S23 Ultra,Yes,Yes,6
2018-01-15,1002,8,640000,Apple,4,256,Iphone 14 Pro Max,No,No,10
2018-01-15,1003,2,240000,Huawei,16,64,P50 Ultra,No,Yes,5
2018-01-15,1004,48,5760000,Sony,8,64,Xperia 1,No,No,10
2018-01-15,1005,7,420000,Oppo,4,256,Find x4,Yes,Yes,14
2018-01-15,1006,41,6560000,Vivo,8,256,X80,Yes,Yes,14
2018-01-15,1007,5,850000,IQOO,8,128,11,No,No,12
2018-01-15,1008,49,8820000,Xiaomi,12,128,13 Ultra,Yes,Yes,13
2018-01-15,1009,21,3990000,Realme,16,256,GT4,Yes,No,6
2018-01-15,2001,19,3040000,Oneplus,6,64,10 pro,Yes,Yes,9
2018-01-15,2002,40,4800000,Poco,16,256,X4 Pro 5G,No,Yes,8
2018-01-15,2003,18,2880000,Motorola,6,256,Edge Plus,No,No,9
2018-01-15,2004,48,3840000,Nokia,16,256,X30 5G,Yes,No,6
2018-01-16,1001,32,6400000,Samsung,6,128,S23 Ultra,No,Yes,13
2018-01-16,1002,42,6300000,Apple,4,64,Iphone 14 Pro Max,Yes,Yes,13
2018-01-16,1003,5,550000,Huawei,8,128,P50 Ultra,Yes,No,9
2018-01-16,1004,18,2160000,Sony,12,128,Xperia 1,No,No,6
2018-01-16,1005,40,4800000,Oppo,8,64,Find x4,No,Yes,7
2018-01-16,1006,5,750000,Vivo,6,128,X80,No,Yes,5
2018-01-16,1007,24,1440000,IQOO,6,512,11,No,Yes,5
2018-01-16,1008,36,6840000,Xiaomi,16,128,13 Ultra,Yes,No,11
2018-01-16,1009,30,5400000,Realme,16,256,GT4,No,No,14
2018-01-16,2001,9,630000,Oneplus,8,512,10 pro,Yes,No,7
2018-01-16,2002,12,2160000,Poco,4,64,X4 Pro 5G,No,No,7
2018-01-16,2003,21,1260000,Motorola,4,64,Edge Plus,No,Yes,9
2018-01-16,2004,21,2940000,Nokia,16,64,X30 5G,No,Yes,10
2018-01-17,1001,33,2640000,Samsung,8,512,S23 Ultra,No,Yes,13
2018-01-17,1002,12,1800000,Apple,8,128,Iphone 14 Pro Max,No,No,13
2018-01-17,1003,50,5500000,Huawei,16,128,P50 Ultra,No,Yes,5
2018-01-17,1004,40,4400000,Sony,4,64,Xperia 1,No,Yes,9
2018-01-17,1005,30,5400000,Oppo,4,64,Find x4,Yes,No,14
2018-01-17,1006,41,6150000,Vivo,12,256,X80,No,Yes,9
2018-01-17,1007,23,4600000,IQOO,6,64,11,No,No,14
2018-01-17,1008,47,3760000,Xiaomi,12,256,13 Ultra,No,No,8
2018-01-17,1009,37,5180000,Realme,12,512,GT4,No,No,12
2018-01-17,2001,23,3910000,Oneplus,12,64,10 pro,Yes,Yes,8
2018-01-17,2002,5,750000,Poco,4,64,X4 Pro 5G,Yes,Yes,11
2018-01-17,2003,45,4500000,Motorola,12,256,Edge Plus,Yes,Yes,6
2018-01-17,2004,38,4940000,Nokia,12,128,X30 5G,No,No,7
2018-01-18,1001,18,3600000,Samsung,4,128,S23 Ultra,No,Yes,12
2018-01-18,1002,26,1560000,Apple,12,64,Iphone 14 Pro Max,Yes,No,5
2018-01-18,1003,44,3520000,Huawei,16,512,P50 Ultra,No,Yes,6
2018-01-18,1004,42,3780000,Sony,4,512,Xperia 1,Yes,Yes,5
2018-01-18,1005,41,6560000,Oppo,8,512,Find x4,Yes,Yes,9
2018-01-18,1006,49,9310000,Vivo,8,128,X80,Yes,No,6
2018-01-18,1007,32,2880000,IQOO,16,64,11,Yes,No,14
2018-01-18,1008,3,480000,Xiaomi,6,512,13 Ultra,No,No,9
2018-01-18,1009,2,240000,Realme,8,128,GT4,Yes,Yes,11
2018-01-18,2001,38,7220000,Oneplus,6,256,10 pro,No,No,12
2018-01-18,2002,22,2200000,Poco,6,128,X4 Pro 5G,No,No,11
2018-01-18,2003,28,3640000,Motorola,16,256,Edge Plus,No,No,13
2018-01-18,2004,15,1650000,Nokia,16,256,X30 5G,Yes,Yes,6
2018-01-19,1001,37,6290000,Samsung,4,512,S23 Ultra,Yes,No,13
2018-01-19,1002,47,8460000,Apple,16,512,Iphone 14 Pro Max,No,No,5
2018-01-19,1003,31,1860000,Huawei,12,64,P50 Ultra,Yes,No,12
2018-01-19,1004,13,1430000,Sony,8,64,Xperia 1,Yes,No,14
2018-01-19,1005,10,1700000,Oppo,8,256,Find x4,No,No,7
2018-01-19,1006,6,480000,Vivo,6,64,X80,No,Yes,6
2018-01-19,1007,9,1080000,IQOO,6,128,11,No,Yes,9
2018-01-19,1008,26,1820000,Xiaomi,12,512,13 Ultra,Yes,No,7
2018-01-19,1009,42,5040000,Realme,6,512,GT4,Yes,Yes,6
2018-01-19,2001,24,2400000,Oneplus,12,128,10 pro,Yes,Yes,9
2018-01-19,2002,48,4800000,Poco,12,64,X4 Pro 5G,Yes,Yes,14
2018-01-19,2003,15,1650000,Motorola,16,64,Edge Plus,No,Yes,7
2018-01-19,2004,48,2880000,Nokia,4,128,X30 5G,No,No,13
2018-01-20,1001,25,1250000,Samsung,12,512,S23 Ultra,Yes,No,14
2018-01-20,1002,33,4290000,Apple,4,512,Iphone 14 Pro Max,No,No,7
2018-01-20,1003,12,1680000,Huawei,4,64,P50 Ultra,No,No,14
2018-01-20,1004,19,3420000,Sony,4,64,Xperia 1,Yes,Yes,7
2018-01-20,1005,27,4590000,Oppo,12,64,Find x4,No,No,14
2018-01-20,1006,25,4000000,Vivo,6,256,X80,Yes,No,10
2018-01-20,1007,5,350000,IQOO,6,512,11,Yes,Yes,6
2018-01-20,1008,28,5320000,Xiaomi,16,256,13 Ultra,Yes,Yes,9
2018-01-20,1009,36,7200000,Realme,12,128,GT4,Yes,No,13
2018-01-20,2001,16,1280000,Oneplus,8,64,10 pro,No,Yes,12
2018-01-20,2002,28,4200000,Poco,8,512,X4 Pro 5G,Yes,No,12
2018-01-20,2003,47,3760000,Motorola,12,256,Edge Plus,No,No,12
2018-01-20,2004,48,2880000,Nokia,4,256,X30 5G,Yes,No,8
2018-01-21,1001,22,3960000,Samsung,12,256,S23 Ultra,Yes,Yes,10
2018-01-21,1002,37,1850000,Apple,8,512,Iphone 14 Pro Max,Yes,No,9
2018-01-21,1003,33,5940000,Huawei,12,64,P50 Ultra,Yes,Yes,10
2018-01-21,1004,35,5600000,Sony,16,256,Xperia 1,No,Yes,11
2018-01-21,1005,36,5400000,Oppo,8,512,Find x4,Yes,No,14
2018-01-21,1006,32,4160000,Vivo,16,256,X80,Yes,No,9
2018-01-21,1007,40,8000000,IQOO,4,64,11,No,No,6
2018-01-21,1008,7,1330000,Xiaomi,6,512,13 Ultra,Yes,Yes,5
2018-01-21,1009,22,3960000,Realme,4,512,GT4,Yes,No,7
2018-01-21,2001,45,5850000,Oneplus,6,128,10 pro,Yes,Yes,6
2018-01-21,2002,6,540000,Poco,6,256,X4 Pro 5G,Yes,No,13
2018-01-21,2003,22,3300000,Motorola,6,256,Edge Plus,Yes,Yes,10
2018-01-21,2004,15,900000,Nokia,16,256,X30 5G,Yes,Yes,12
2018-01-22,1001,29,5800000,Samsung,4,64,S23 Ultra,No,No,13
2018-01-22,1002,18,900000,Apple,8,64,Iphone 14 Pro Max,Yes,Yes,13
2018-01-22,1003,48,7200000,Huawei,6,128,P50 Ultra,Yes,Yes,11
2018-01-22,1004,13,2340000,Sony,6,128,Xperia 1,No,No,11
2018-01-22,1005,40,6000000,Oppo,6,512,Find x4,No,No,7
2018-01-22,1006,44,8800000,Vivo,12,256,X80,Yes,Yes,9
2018-01-22,1007,36,4320000,IQOO,12,64,11,Yes,Yes,7
2018-01-22,1008,2,100000,Xiaomi,6,512,13 Ultra,No,No,9
2018-01-22,1009,28,2520000,Realme,8,256,GT4,Yes,Yes,10
2018-01-22,2001,18,2520000,Oneplus,4,256,10 pro,Yes,No,6
2018-01-22,2002,46,9200000,Poco,4,256,X4 Pro 5G,No,Yes,11
2018-01-22,2003,48,9120000,Motorola,8,128,Edge Plus,No,No,10
2018-01-22,2004,36,6480000,Nokia,12,256,X30 5G,Yes,Yes,11
2018-01-23,1001,16,1120000,Samsung,16,512,S23 Ultra,No,Yes,5
2018-01-23,1002,43,5590000,Apple,6,64,Iphone 14 Pro Max,Yes,No,5
2018-01-23,1003,19,1710000,Huawei,8,512,P50 Ultra,Yes,Yes,6
2018-01-23,1004,43,2580000,Sony,8,256,Xperia 1,No,No,6
2018-01-23,1005,47,6110000,Oppo,16,128,Find x4,No,Yes,12
2018-01-23,1006,39,7020000,Vivo,8,512,X80,Yes,Yes,9
2018-01-23,1007,44,8360000,IQOO,6,512,11,Yes,No,11
2018-01-23,1008,36,4680000,Xiaomi,12,512,13 Ultra,Yes,Yes,6
2018-01-23,1009,36,4680000,Realme,12,64,GT4,Yes,No,5
2018-01-23,2001,23,2990000,Oneplus,8,128,10 pro,Yes,No,6
2018-01-23,2002,48,6720000,Poco,4,128,X4 Pro 5G,Yes,No,12
2018-01-23,2003,2,400000,Motorola,8,512,Edge Plus,No,Yes,13
2018-01-23,2004,35,4200000,Nokia,8,512,X30 5G,Yes,No,11
2018-01-24,1001,33,4620000,Samsung,12,256,S23 Ultra,Yes,Yes,13
2018-01-24,1002,30,1800000,Apple,12,128,Iphone 14 Pro Max,No,Yes,6
2018-01-24,1003,6,780000,Huawei,8,64,P50 Ultra,No,No,11
2018-01-24,1004,38,6080000,Sony,12,128,Xperia 1,No,Yes,7
2018-01-24,1005,37,2590000,Oppo,4,64,Find x4,No,Yes,8
2018-01-24,1006,29,4060000,Vivo,16,256,X80,Yes,No,12
2018-01-24,1007,34,4420000,IQOO,4,512,11,Yes,Yes,5
2018-01-24,1008,8,480000,Xiaomi,6,256,13 Ultra,Yes,Yes,7
2018-01-24,1009,7,1190000,Realme,4,64,GT4,Yes,No,12
2018-01-24,2001,41,3280000,Oneplus,12,64,10 pro,Yes,Yes,9
2018-01-24,2002,5,1000000,Poco,8,64,X4 Pro 5G,Yes,Yes,12
2018-01-24,2003,12,600000,Motorola,6,256,Edge Plus,Yes,Yes,11
2018-01-24,2004,48,9600000,Nokia,6,512,X30 5G,Yes,No,12
2018-01-25,1001,49,5880000,Samsung,8,512,S23 Ultra,Yes,No,5
2018-01-25,1002,13,2210000,Apple,16,256,Iphone 14 Pro Max,Yes,No,5
2018-01-25,1003,2,380000,Huawei,12,256,P50 Ultra,No,No,5
2018-01-25,1004,49,2450000,Sony,8,64,Xperia 1,Yes,Yes,8
2018-01-25,1005,38,7220000,Oppo,16,64,Find x4,No,No,11
2018-01-25,1006,32,5120000,Vivo,16,512,X80,Yes,No,11
2018-01-25,1007,48,9120000,IQOO,8,512,11,Yes,Yes,5
2018-01-25,1008,2,200000,Xiaomi,8,512,13 Ultra,Yes,Yes,6
2018-01-25,1009,2,260000,Realme,16,256,GT4,No,Yes,9
2018-01-25,2001,26,2340000,Oneplus,6,256,10 pro,Yes,Yes,6
2018-01-25,2002,9,900000,Poco,8,256,X4 Pro 5G,No,No,13
2018-01-25,2003,5,900000,Motorola,6,128,Edge Plus,Yes,No,13
2018-01-25,2004,48,6240000,Nokia,4,512,X30 5G,No,No,10
2018-01-26,1001,15,1800000,Samsung,12,64,S23 Ultra,No,No,5
2018-01-26,1002,18,3420000,Apple,16,256,Iphone 14 Pro Max,No,Yes,11
2018-01-26,1003,14,2100000,Huawei,12,64,P50 Ultra,No,Yes,7
2018-01-26,1004,43,5590000,Sony,8,64,Xperia 1,No,No,14
2018-01-26,1005,36,4320000,Oppo,6,64,Find x4,No,No,7
2018-01-26,1006,12,1200000,Vivo,4,256,X80,No,No,10
2018-01-26,1007,34,3060000,IQOO,8,128,11,Yes,No,6
2018-01-26,1008,11,770000,Xiaomi,6,256,13 Ultra,Yes,Yes,14
2018-01-26,1009,15,1200000,Realme,16,128,GT4,Yes,No,7
2018-01-26,2001,11,1650000,Oneplus,4,256,10 pro,Yes,No,11
2018-01-26,2002,22,3520000,Poco,16,64,X4 Pro 5G,No,Yes,13
2018-01-26,2003,31,4030000,Motorola,8,256,Edge Plus,Yes,No,13
2018-01-26,2004,1,190000,Nokia,16,512,X30 5G,Yes,Yes,6
2018-01-27,1001,37,5180000,Samsung,12,64,S23 Ultra,No,Yes,5
2018-01-27,1002,49,9310000,Apple,8,128,Iphone 14 Pro Max,Yes,Yes,10
2018-01-27,1003,39,2730000,Huawei,8,64,P50 Ultra,Yes,Yes,11
2018-01-27,1004,41,6970000,Sony,12,512,Xperia 1,No,Yes,14
2018-01-27,1005,19,1140000,Oppo,4,512,Find x4,Yes,Yes,10
2018-01-27,1006,5,450000,Vivo,16,512,X80,Yes,Yes,6
2018-01-27,1007,41,6560000,IQOO,12,128,11,No,No,9
2018-01-27,1008,7,560000,Xiaomi,12,256,13 Ultra,Yes,Yes,6
2018-01-27,1009,24,1680000,Realme,8,128,GT4,Yes,Yes,9
2018-01-27,2001,41,6970000,Oneplus,6,512,10 pro,No,No,12
2018-01-27,2002,3,570000,Poco,12,256,X4 Pro 5G,No,No,14
2018-01-27,2003,33,3300000,Motorola,6,64,Edge Plus,No,No,14
2018-01-27,2004,16,2560000,Nokia,16,256,X30 5G,No,No,12
2018-01-28,1001,17,1190000,Samsung,12,64,S23 Ultra,Yes,No,11
2018-01-28,1002,30,3900000,Apple,6,128,Iphone 14 Pro Max,Yes,Yes,9
